Race,Sex,Age,Supervising Unit,Supervision Type,Cohort Fiscal Year,Report Fiscal Year,Supervision Start Date,Supervision End Date,Months Supervised,Supervision End Reason,Charge ID [Internal],Supervision Offense Class,Supervision Offense Type,Supervision Offense Subtype,Reincarcerated,Reincarcerated Reason,Survival Time (Days),Survival Time (Months),Reincarcerated Offense Code,Reincarcerated Offense Class,Reincarcerated Offense Type,Reincarcerated Offense Subtype,Risk Ranking
White,Male,68,Districts/Compact Regions,Work Release,2019,2022,08/17/2018,12/16/2018,3,Discharged - Expiration of Sentence,20365751,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,53,North Central Correctional Facility,Prison,2019,2022,08/15/2018,05/29/2019,9,Parole Granted,20224242,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,53,Newton Correctional Facility,Work Release,2019,2022,10/23/2018,01/24/2019,3,Parole Granted,20284257,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,Tech,432,14.4,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Low
White,Male,66,Mount Pleasant Correctional Facility,Prison,2019,2022,06/04/2018,03/29/2019,9,Parole Granted,20443064,C Felony,Drug,Trafficking,false,,,,,,,,Low
Black,Male,59,Iowa Medical & Classification Center,Work Release,2019,2022,07/13/2018,10/31/2018,3,Parole Granted,20404281,D Felony,Public Order,Other Public Order,true,New Charge,434,14.5,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Female,53,Iowa Correctional Institution for Women,Prison,2019,2022,03/26/2018,12/13/2018,8,Parole Granted,20370611,C Felony,Drug,Trafficking,false,,,,,,,,Moderate
White,Male,55,Iowa Medical & Classification Center,Work Release,2019,2022,04/23/2018,07/18/2018,2,Parole Granted,20415752,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,55,Districts/Compact Regions,Work Release,2019,2022,08/01/2018,05/30/2019,9,Parole Granted,20380856,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,56,Districts/Compact Regions,Prison,2019,2022,02/23/2012,07/05/2018,76,Discharged - Expiration of Sentence,838748,B Felony,Drug,Trafficking,false,,,,,,,,
White,Male,54,Fort Dodge Correctional Facility,Prison,2019,2022,04/24/2018,10/20/2018,5,Discharged - Expiration of Sentence,20357535,D Felony,Public Order,OWI,false,,,,,,,,High
White,Male,54,Mount Pleasant Correctional Facility,Prison,2019,2022,12/22/2017,04/04/2019,15,Parole Granted,20315227,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,44,Newton Correctional Facility,Prison,2019,2022,04/26/2018,01/07/2019,8,Parole Granted,20450029,Aggravated Misdemeanor,Property,Theft,false,,,,,,,,Low
Black,Male,45,Districts/Compact Regions,Work Release,2019,2022,08/09/2018,04/27/2019,8,Parole Granted,20398382,C Felony,Violent,Assault,false,,,,,,,,High
White,Male,55,Districts/Compact Regions,Work Release,2019,2022,09/05/2017,07/17/2018,10,Parole Granted,20265742,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,44,Districts/Compact Regions,Work Release,2019,2022,01/22/2018,10/17/2018,8,Discharged - Expiration of Sentence,661147,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,53,Mount Pleasant Correctional Facility,Prison,2019,2022,11/21/2018,01/30/2019,2,Paroled w/Immediate Discharge,20308240,D Felony,Property,Theft,true,New Charge,462,15.4,124.401(1)(b)(7),B Felony,Drug,Trafficking,Low
White,Male,54,Clarinda Correctional Facility,Prison,2019,2022,09/18/2015,10/05/2018,36,Parole Granted,20316016,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Moderate
White,Male,53,Clarinda Correctional Facility,Prison,2019,2022,06/22/2015,01/22/2019,43,Parole Granted,20269446,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,"1,053",35.1,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,51,Districts/Compact Regions,Work Release,2019,2022,03/19/2019,06/06/2019,2,Parole Granted,20421111,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,58,Mount Pleasant Correctional Facility,Prison,2019,2022,02/25/2019,05/23/2019,2,Discharged - Expiration of Sentence,20489944,Aggravated Misdemeanor,Public Order,OWI,false,,,,,,,,Moderate
White,Male,57,Iowa Medical & Classification Center,Work Release,2019,2022,06/13/2018,09/14/2018,3,Parole Granted,20093566,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
White,Male,51,Newton Correctional Facility,Prison,2019,2022,01/14/2019,05/28/2019,4,Paroled w/Immediate Discharge,20250198,D Felony,Property,Burglary,true,New Charge,112,3.7,714.2(2),D Felony,Property,Theft,High
Hispanic,Male,54,Newton Correctional Facility,Prison,2019,2022,03/28/2018,10/16/2018,6,Parole Granted,20383060,C Felony,Drug,Trafficking,true,Tech,525,17.5,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
Black,Male,57,Iowa Medical & Classification Center,Work Release,2019,2022,07/09/2018,08/01/2018,0,Parole Granted,20169468,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Moderate
White,Male,60,Newton Correctional Facility,Prison,2019,2022,07/21/2017,03/21/2019,20,Parole Granted,20409370,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Male,57,Mount Pleasant Correctional Facility,Prison,2019,2022,04/03/2017,11/01/2018,18,Paroled to Detainer - U.S. Marshall,20295140,C Felony,Drug,Trafficking,false,,,,,,,,Moderate
White,Male,52,Mount Pleasant Correctional Facility,Prison,2019,2022,01/30/2017,12/17/2018,22,Paroled w/Immediate Discharge,20387332,D Felony,Property,Burglary,false,,,,,,,,High
Black,Male,59,North Central Correctional Facility,Prison,2019,2022,12/11/2018,05/13/2019,5,Parole Granted,20301265,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,56,Newton Correctional Facility,Prison,2019,2022,03/15/2014,10/05/2018,54,Released to Special Sentence,20248950,C Felony,Violent,Sex,false,,,,,,,,
White,Male,54,Iowa Medical & Classification Center,Prison,2019,2022,10/18/2016,08/17/2018,21,Parole Granted,20343966,D Felony,Drug,Drug Possession,true,Tech,168,5.6,124.401(5)(c),D Felony,Drug,Drug Possession,Low
White,Male,60,Newton Correctional Facility,Work Release,2019,2022,08/10/2018,09/13/2018,1,Parole Granted,20436298,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
Black,Female,55,Iowa Correctional Institution for Women,Prison,2019,2022,09/27/2017,07/23/2018,9,Discharged - Expiration of Sentence,20426361,Aggravated Misdemeanor,Public Order,OWI,true,New Charge,535,17.8,714.2(2),D Felony,Property,Theft,Low
Asian or Pacific Islander,Male,52,Mount Pleasant Correctional Facility,Prison,2019,2022,06/14/2018,02/06/2019,7,Parole Granted,20345459,D Felony,Property,Theft,false,,,,,,,,Low
White,Male,50,Fort Dodge Correctional Facility,Prison,2019,2022,07/05/2018,11/01/2018,3,Discharged - Expiration of Sentence,20369102,D Felony,Property,Forgery/Fraud,true,New Charge,762,25.4,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,60,Newton Correctional Facility,Prison,2019,2022,06/07/2018,12/06/2018,5,Discharged - Expiration of Sentence,20269125,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,57,Newton Correctional Facility,Prison,2019,2022,07/14/2017,01/29/2019,18,Parole Granted,20405104,D Felony,Violent,Murder/Manslaughter,false,,,,,,,,Low
Hispanic,Male,53,Iowa Medical & Classification Center,Prison,2019,2022,05/17/2018,07/22/2018,2,Discharged - Expiration of Sentence,20211840,C Felony,Drug,Trafficking,false,,,,,,,,High
Black,Male,58,Fort Dodge Correctional Facility,Prison,2019,2022,12/06/2017,03/21/2019,15,Parole Granted,20436303,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Female,54,Iowa Correctional Institution for Women,Prison,2019,2022,01/11/2019,05/26/2019,4,Discharged - Expiration of Sentence,20455776,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Male,54,Mount Pleasant Correctional Facility,Prison,2019,2022,07/31/2018,11/15/2018,3,Parole Granted,20458976,D Felony,Drug,Drug Possession,true,New Charge,566,18.9,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
Black,Male,50,Newton Correctional Facility,Work Release,2019,2022,02/22/2018,09/19/2018,6,Parole Granted,20101832,C Felony,Violent,Robbery,true,Tech,733,24.4,711.3,C Felony,Violent,Robbery,High
White,Female,55,Iowa Correctional Institution for Women,Prison,2019,2022,03/23/2018,10/08/2018,6,Parole Granted,20450687,Aggravated Misdemeanor,Public Order,Alcohol,false,,,,,,,,Low
White,Male,57,Districts/Compact Regions,Prison,2019,2022,12/08/2017,04/25/2019,16,Paroled w/Immediate Discharge,20268235,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,55,Newton Correctional Facility,Prison,2019,2022,02/27/2018,02/26/2019,11,Parole Granted,20446421,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,51,Iowa Medical & Classification Center,Work Release,2019,2022,04/26/2018,09/06/2018,4,Parole Granted,20131713,C Felony,Violent,Assault,true,Tech,728,24.3,708.4(1),C Felony,Violent,Assault,Moderate
White,Male,51,Fort Dodge Correctional Facility,Prison,2019,2022,02/05/2019,04/04/2019,1,Parole Granted,20185319,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,791,26.4,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,54,Mount Pleasant Correctional Facility,Prison,2019,2022,07/06/2018,09/08/2018,2,Discharged - Expiration of Sentence,20354215,D Felony,Property,Burglary,false,,,,,,,,High
White,Male,56,North Central Correctional Facility,Prison,2019,2022,02/14/2018,02/07/2019,11,Parole Granted,20441032,D Felony,Violent,Assault,false,,,,,,,,Low
White,Male,56,Districts/Compact Regions,Work Release,2019,2022,02/13/2019,04/25/2019,2,Parole Granted,20272439,B Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,50,Mount Pleasant Correctional Facility,Prison,2019,2022,02/27/2018,10/19/2018,7,Discharged - Expiration of Sentence,20153862,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Male,61,Mount Pleasant Correctional Facility,Prison,2019,2022,02/13/2018,05/28/2019,15,Parole Granted,20325666,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Female,53,Iowa Correctional Institution for Women,Prison,2019,2022,01/23/2019,06/03/2019,4,Parole Granted,20451699,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Male,61,Districts/Compact Regions,Work Release,2019,2022,04/03/2018,08/29/2018,4,Parole Granted,20296884,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,53,Clarinda Correctional Facility,Prison,2019,2022,10/05/2017,05/10/2019,19,Parole Granted,20420229,C Felony,Property,Theft,true,Tech,581,19.4,714.2(1),C Felony,Property,Theft,Moderate
White,Male,52,Iowa Medical & Classification Center,Work Release,2019,2022,06/22/2018,10/24/2018,4,Parole Granted,589843,B Felony,Drug,Trafficking,true,Tech,"1,093",36.4,124.401(1)(b)(7),B Felony,Drug,Trafficking,Low
White,Male,51,Iowa Medical & Classification Center,Prison,2019,2022,01/10/2018,11/07/2018,9,Discharged - Expiration of Sentence,20447476,Aggravated Misdemeanor,Violent,Assault,true,New Charge,904,30.1,713.5,C Felony,Property,Burglary,High
White,Male,49,Mount Pleasant Correctional Facility,Prison,2019,2022,01/25/2018,07/09/2018,5,Parole Granted,20341853,D Felony,Public Order,OWI,true,Tech,122,4.1,321J.2(C),D Felony,Public Order,OWI,Moderate
White,Male,51,Iowa Medical & Classification Center,Work Release,2019,2022,09/13/2018,12/07/2018,2,Parole Granted,20389870,D Felony,Public Order,OWI,true,New Charge,527,17.6,321J.2(2)(c),D Felony,Public Order,OWI,High
White,Male,52,Mount Pleasant Correctional Facility,Prison,2019,2022,02/01/2013,02/19/2019,72,Parole Granted,20205352,B Felony,Property,Arson,false,,,,,,,,Low
White,Male,54,Iowa Medical & Classification Center,Work Release,2019,2022,08/14/2018,11/09/2018,2,Parole Granted,20404735,D Felony,Drug,Drug Possession,true,Tech,305,10.2,124.401(5)(c),D Felony,Drug,Drug Possession,High
White,Male,58,Newton Correctional Facility,Prison,2019,2022,10/30/2018,05/17/2019,6,Parole Granted,690442,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,51,Iowa Medical & Classification Center,Work Release,2019,2022,06/12/2018,09/19/2018,3,Parole Granted,20383256,D Felony,Public Order,Traffic,true,Tech,36,1.2,321.279(3),D Felony,Public Order,Traffic,High
Black,Male,51,Clarinda Correctional Facility,Prison,2019,2022,10/29/2018,04/02/2019,5,Parole Granted,20381678,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,New Charge,349,11.6,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Low
White,Male,56,Districts/Compact Regions,Work Release,2019,2022,01/08/2019,03/13/2019,2,Parole Granted,20453954,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,52,Districts/Compact Regions,Work Release,2019,2022,08/01/2018,11/01/2018,3,Parole Granted,20437898,D Felony,Property,Theft,false,,,,,,,,Moderate
White,Male,51,Clarinda Correctional Facility,Prison,2019,2022,05/23/2017,12/03/2018,18,Parole Granted,20403009,B Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,60,Districts/Compact Regions,Work Release,2019,2022,05/15/2018,07/09/2018,1,Parole Granted,20400374,D Felony,Violent,Murder/Manslaughter,false,,,,,,,,Low
White,Male,52,Mount Pleasant Correctional Facility,Prison,2019,2022,08/04/2016,11/15/2018,27,Parole Granted,20420030,D Felony,Drug,Drug Possession,true,Tech,278,9.3,124.401(5)(c),D Felony,Drug,Drug Possession,Moderate
White,Male,55,Mount Pleasant Correctional Facility,Prison,2019,2022,05/10/2017,06/27/2019,25,Parole Granted,20374630,D Felony,Property,Theft,true,Tech,138,4.6,714.2(2),D Felony,Property,Theft,High
Black,Male,51,Fort Dodge Correctional Facility,Prison,2019,2022,04/09/2018,01/16/2019,9,Discharged - Expiration of Sentence,20452939,Aggravated Misdemeanor,Property,Theft,false,,,,,,,,Low
White,Male,55,Iowa Medical & Classification Center,Work Release,2019,2022,10/31/2018,03/14/2019,4,Parole Granted,756202,B Felony,Drug,Trafficking,true,New Charge,161,5.4,124.401(1)(b)(7),B Felony,Drug,Trafficking,Moderate
White,Female,53,Iowa Correctional Institution for Women,Prison,2019,2022,04/16/2018,04/12/2019,11,Parole Granted,20375232,D Felony,Property,Burglary,true,Tech,90,3.0,713.6A,D Felony,Property,Burglary,High
White,Male,52,North Central Correctional Facility,Prison,2019,2022,02/06/2018,10/04/2018,7,Parole Granted,20423546,D Felony,Public Order,Other Public Order,false,,,,,,,,Moderate
White,Male,52,Districts/Compact Regions,Work Release,2019,2022,02/21/2019,04/30/2019,2,Parole Granted,20076135,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,58,Newton Correctional Facility,Prison,2019,2022,04/11/2018,08/23/2018,4,Parole Granted,20455342,Aggravated Misdemeanor,Public Order,OWI,false,,,,,,,,Moderate
Black,Male,58,Clarinda Correctional Facility,Prison,2019,2022,11/14/2018,05/17/2019,6,Parole Granted,20485481,D Felony,Property,Theft,false,,,,,,,,Low
White,Female,52,Iowa Correctional Institution for Women,Prison,2019,2022,02/26/2018,12/04/2018,9,Parole Granted,619038,D Felony,Property,Forgery/Fraud,true,Tech,465,15.5,715A.2(2)(a),D Felony,Property,Forgery/Fraud,Moderate
White,Male,56,Mount Pleasant Correctional Facility,Prison,2019,2022,08/27/2018,05/02/2019,8,Parole Granted,20474306,C Felony,Drug,Trafficking,true,New Charge,805,26.8,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
Black,Male,62,Newton Correctional Facility,Prison,2019,2022,04/23/2018,03/20/2019,10,Parole Granted,20253758,D Felony,Property,Burglary,true,New Charge,482,16.1,715A.6(2)(B),D Felony,Property,Forgery/Fraud,Low
White,Male,57,Newton Correctional Facility,Prison,2019,2022,07/03/2018,01/29/2019,6,Parole Granted,20344025,B Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,54,Newton Correctional Facility,Prison,2019,2022,11/28/2016,11/29/2018,24,Released to Special Sentence,20377174,D Felony,Public Order,Other Public Order,false,,,,,,,,Low
White,Male,50,Clarinda Correctional Facility,Prison,2019,2022,09/05/2017,09/18/2018,12,Parole Granted,20392327,Aggravated Misdemeanor,Property,Theft,false,,,,,,,,High
White,Male,59,Clarinda Correctional Facility,Prison,2019,2022,01/23/2018,05/14/2019,15,Parole Granted,20360174,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Male,51,Mount Pleasant Correctional Facility,Prison,2019,2022,03/27/2018,02/04/2019,10,Parole Granted,20223010,D Felony,Property,Burglary,true,New Charge,484,16.1,713.6A,D Felony,Property,Burglary,Moderate
White,Male,49,Mount Pleasant Correctional Facility,Prison,2019,2022,08/02/2016,12/05/2018,28,Parole Granted,20359345,D Felony,Property,Burglary,false,,,,,,,,High
White,Male,49,Mount Pleasant Correctional Facility,Prison,2019,2022,04/26/2018,03/05/2019,10,Parole Granted,20455008,D Felony,Drug,Drug Possession,true,New Charge,343,11.4,124.401(1)(b)(7),B Felony,Drug,Trafficking,Moderate
White,Male,57,Mount Pleasant Correctional Facility,Prison,2019,2022,07/24/2018,03/08/2019,7,Discharged - Expiration of Sentence,20443947,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
White,Male,49,Fort Dodge Correctional Facility,Prison,2019,2022,10/10/2013,07/04/2018,56,Released to Special Sentence,20083524,C Felony,Property,Burglary,false,,,,,,,,High
American Indian or Alaska Native,Male,52,North Central Correctional Facility,Prison,2019,2022,09/11/2018,12/26/2018,3,Parole Granted,20365005,Aggravated Misdemeanor,Property,Vandalism,true,Tech,104,3.5,716.5,Aggravated Misdemeanor,Property,Vandalism,High
White,Male,53,Newton Correctional Facility,Prison,2019,2022,06/27/2017,10/22/2018,15,Parole Granted,20349761,D Felony,Property,Vandalism,true,Tech,302,10.1,716.4,D Felony,Property,Vandalism,High
White,Female,51,Districts/Compact Regions,Work Release,2019,2022,05/04/2018,08/16/2018,3,Parole Granted,20122670,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
Black,Male,50,Districts/Compact Regions,Work Release,2019,2022,07/27/2018,10/18/2018,2,Parole Granted,20005433,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,59,Iowa Medical & Classification Center,Work Release,2019,2022,02/22/2019,04/27/2019,2,Parole Granted,20471980,D Felony,Public Order,OWI,true,Tech,492,16.4,321J.2(C),D Felony,Public Order,OWI,Low
Black,Male,58,Newton Correctional Facility,Prison,2019,2022,01/03/2018,09/11/2018,8,Parole Granted,20439547,Aggravated Misdemeanor,Public Order,Traffic,true,New Charge,736,24.5,321.561,Aggravated Misdemeanor,Public Order,Traffic,Low
White,Male,49,Mount Pleasant Correctional Facility,Prison,2019,2022,09/21/2017,12/19/2018,14,Parole Granted,20421105,D Felony,Drug,Drug Possession,false,,,,,,,,High
White,Male,59,Districts/Compact Regions,Work Release,2019,2022,10/19/2017,05/29/2019,19,Parole Granted,20239720,C Felony,Property,Burglary,false,,,,,,,,Low
White,Male,52,Newton Correctional Facility,Prison,2019,2022,11/09/2015,03/01/2019,39,Released to Special Sentence,20327875,C Felony,Violent,Sex,false,,,,,,,,
White,Male,42,Newton Correctional Facility,Prison,2019,2022,10/28/2014,01/11/2019,50,Parole Granted,20290204,C Felony,Violent,Sex,false,,,,,,,,
White,Male,60,Newton Correctional Facility,Prison,2019,2022,07/25/2018,04/20/2019,8,Released to Special Sentence,20446878,Aggravated Misdemeanor,Violent,Sex,false,,,,,,,,
White,Male,53,Mount Pleasant Correctional Facility,Prison,2019,2022,02/25/2019,05/16/2019,2,Parole Granted,20164289,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,52,Districts/Compact Regions,Work Release,2019,2022,10/01/2018,01/22/2019,3,Parole Granted,20331586,C Felony,Property,Burglary,false,,,,,,,,High
White,Male,60,Mount Pleasant Correctional Facility,Prison,2019,2022,06/30/2017,09/23/2018,14,Discharged - Expiration of Sentence,20226546,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,51,Clarinda Correctional Facility,Prison,2019,2022,06/01/2017,02/05/2019,20,Paroled to Detainer - Out of State,20403478,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,63,Newton Correctional Facility,Work Release,2019,2022,04/26/2019,06/21/2019,1,Parole Granted,832357,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,50,Newton Correctional Facility,Work Release,2019,2022,01/30/2018,07/10/2018,5,Parole Granted,20262096,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,Tech,238,7.9,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Low
Black,Male,50,Iowa Medical & Classification Center,Work Release,2019,2022,04/18/2019,06/27/2019,2,Parole Granted,20257816,B Felony,Drug,Trafficking,true,New Charge,277,9.2,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,55,Newton Correctional Facility,Prison,2019,2022,05/16/2016,04/08/2019,34,Parole Granted,20050558,B Felony,Drug,Trafficking,false,,,,,,,,Low
Black,Female,56,Iowa Correctional Institution for Women,Prison,2019,2022,09/09/2018,01/11/2019,4,Parole Granted,20031835,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,259,8.6,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
White,Male,48,North Central Correctional Facility,Prison,2019,2022,03/30/2018,08/14/2018,4,Parole Granted,20424135,Aggravated Misdemeanor,Drug,Drug Possession,true,Tech,321,10.7,124.401(5)b,Aggravated Misdemeanor,Drug,Drug Possession,Moderate
White,Male,53,Iowa State Penitentiary,Prison,2019,2022,06/05/2017,11/19/2018,17,Parole Granted,20401899,D Felony,Public Order,Weapons,false,,,,,,,,Low
White,Male,50,Iowa Medical & Classification Center,Work Release,2019,2022,05/30/2018,09/14/2018,3,Parole Granted,20184083,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,Tech,56,1.9,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Low
White,Female,48,Iowa Correctional Institution for Women,Prison,2019,2022,10/30/2017,09/21/2018,10,Parole Granted,20268614,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,65,Newton Correctional Facility,Prison,2019,2022,11/16/2018,02/13/2019,2,Parole Granted,20486730,Aggravated Misdemeanor,Property,Theft,true,Tech,28,0.9,"124.401(5),B",Aggravated Misdemeanor,Drug,Drug Possession,Low
White,Male,49,Newton Correctional Facility,Prison,2019,2022,02/27/2018,02/15/2019,11,Released to Special Sentence,20446402,D Felony,Other,Other Criminal,false,,,,,,,,Low
White,Male,55,North Central Correctional Facility,Prison,2019,2022,10/11/2017,12/14/2018,14,Parole Granted,20397872,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,53,1.8,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,49,Mount Pleasant Correctional Facility,Prison,2019,2022,03/29/2018,06/27/2019,14,Parole Granted,20371170,C Felony,Drug,Trafficking,true,Tech,663,22.1,124.401(1)(c)(6),C Felony,Drug,Trafficking,Moderate
White,Male,51,Districts/Compact Regions,Work Release,2019,2022,06/01/2018,09/11/2018,3,Parole Granted,20402690,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,59,Iowa Medical & Classification Center,Prison,2019,2022,07/21/2017,08/07/2018,12,Parole Granted,20343604,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Male,48,Iowa Medical & Classification Center,Work Release,2019,2022,11/28/2018,02/14/2019,2,Parole Granted,20431981,D Felony,Property,Theft,true,New Charge,266,8.9,714.2(2),D Felony,Property,Theft,Moderate
